"","id","choice","alt","disp","feat","price","chid"
"1.heinz28",1,TRUE,"heinz28",0,0,5.2000001,1
"1.heinz32",1,FALSE,"heinz32",0,0,3.7,1
"1.heinz41",1,FALSE,"heinz41",0,0,4.6,1
"1.hunts32",1,FALSE,"hunts32",0,0,3.4000002,1
"2.heinz28",1,TRUE,"heinz28",0,0,5.2000001,2
"2.heinz32",1,FALSE,"heinz32",0,0,4.3000001,2
"2.heinz41",1,FALSE,"heinz41",0,0,4.6,2
"2.hunts32",1,FALSE,"hunts32",0,0,4.4,2
"3.heinz28",1,TRUE,"heinz28",0,0,4.6,3
"3.heinz32",1,FALSE,"heinz32",0,1,2.5,3
"3.heinz41",1,FALSE,"heinz41",0,0,4.6,3
"3.hunts32",1,FALSE,"hunts32",0,0,4.8,3
"4.heinz28",1,TRUE,"heinz28",0,0,5.2000001,4
"4.heinz32",1,FALSE,"heinz32",0,0,3.7,4
"4.heinz41",1,FALSE,"heinz41",0,0,4.6,4
"4.hunts32",1,FALSE,"hunts32",0,0,3.4000002,4
"5.heinz28",1,TRUE,"heinz28",0,1,4.6,5
"5.heinz32",1,FALSE,"heinz32",0,0,2.9999999,5
"5.heinz41",1,FALSE,"heinz41",0,0,4.6,5
"5.hunts32",1,FALSE,"hunts32",0,0,4.8,5
"6.heinz28",1,TRUE,"heinz28",0,0,4.6999998,6
"6.heinz32",1,FALSE,"heinz32",0,0,2.9999999,6
"6.heinz41",1,FALSE,"heinz41",0,0,5.0000001,6
"6.hunts32",1,FALSE,"hunts32",0,0,2.9999999,6
"7.heinz28",1,TRUE,"heinz28",0,0,4.6,7
"7.heinz32",1,FALSE,"heinz32",0,0,3.0999999,7
"7.heinz41",1,FALSE,"heinz41",0,0,5.0999999,7
"7.hunts32",1,FALSE,"hunts32",1,1,4.1000001,7
"8.heinz28",1,FALSE,"heinz28",0,0,4.6999998,8
"8.heinz32",1,FALSE,"heinz32",0,0,3.4000002,8
"8.heinz41",1,TRUE,"heinz41",0,0,4.6,8
"8.hunts32",1,FALSE,"hunts32",0,0,3.0999999,8
"9.heinz28",1,TRUE,"heinz28",0,0,4.6999998,9
"9.heinz32",1,FALSE,"heinz32",0,0,3.4000002,9
"9.heinz41",1,FALSE,"heinz41",0,0,5.0000001,9
"9.hunts32",1,FALSE,"hunts32",0,0,3.0999999,9
"10.heinz28",1,TRUE,"heinz28",0,0,5.0000001,10
"10.heinz32",1,FALSE,"heinz32",0,0,3.4000002,10
"10.heinz41",1,FALSE,"heinz41",0,0,5.0000001,10
"10.hunts32",1,FALSE,"hunts32",1,0,2.8000001,10
"11.heinz28",1,TRUE,"heinz28",0,0,5.0000001,11
"11.heinz32",1,FALSE,"heinz32",0,0,3.2000002,11
"11.heinz41",1,FALSE,"heinz41",0,0,4.5000002,11
"11.hunts32",1,FALSE,"hunts32",0,0,4.1000001,11
"12.heinz28",1,TRUE,"heinz28",0,0,5.0000001,12
"12.heinz32",1,FALSE,"heinz32",0,0,3.7,12
"12.heinz41",1,FALSE,"heinz41",0,0,5.0000001,12
"12.hunts32",1,FALSE,"hunts32",0,0,3.4000002,12
"13.heinz28",1,TRUE,"heinz28",0,0,5.2999999,13
"13.heinz32",1,FALSE,"heinz32",0,0,3.7,13
"13.heinz41",1,FALSE,"heinz41",0,0,5.0000001,13
"13.hunts32",1,FALSE,"hunts32",0,0,3.7,13
"14.heinz28",1,TRUE,"heinz28",1,0,3.5999998,14
"14.heinz32",1,FALSE,"heinz32",0,0,3.7,14
"14.heinz41",1,FALSE,"heinz41",0,0,5.2000001,14
"14.hunts32",1,FALSE,"hunts32",0,0,3.7,14
"15.heinz28",2,TRUE,"heinz28",0,0,5.2000001,15
"15.heinz32",2,FALSE,"heinz32",0,0,3.7,15
"15.heinz41",2,FALSE,"heinz41",0,0,4.6,15
"15.hunts32",2,FALSE,"hunts32",0,0,3.7,15
"16.heinz28",2,FALSE,"heinz28",0,0,5.2000001,16
"16.heinz32",2,TRUE,"heinz32",0,0,3.0999999,16
"16.heinz41",2,FALSE,"heinz41",0,0,4.6,16
"16.hunts32",2,FALSE,"hunts32",0,0,3.4000002,16
"17.heinz28",2,FALSE,"heinz28",0,0,5.2000001,17
"17.heinz32",2,TRUE,"heinz32",0,0,1.7999999,17
"17.heinz41",2,FALSE,"heinz41",0,0,4.6,17
